epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,113.175,1.77902,2.75162,1.48422,0.48353,0.32955,0.32852,0.17889,1.82712,2.08126,1.48559,0.000222054,0.000222054,0.000222054
2,215.106,1.56982,1.6709,1.33784,0.63446,0.38101,0.39729,0.20369,1.75769,1.85898,1.4284,0.000439988,0.000439988,0.000439988
3,311.07,1.53544,1.51093,1.31955,0.64237,0.36461,0.39068,0.21426,1.72808,1.83227,1.40668,0.00065352,0.00065352,0.00065352
4,405.639,1.49575,1.3795,1.29457,0.51086,0.50239,0.46822,0.25011,1.64879,1.68499,1.35966,0.00064719,0.00064719,0.00064719
5,500.828,1.46941,1.28208,1.27429,0.6039,0.45909,0.47682,0.26217,1.6352,1.65801,1.34668,0.000640587,0.000640587,0.000640587
6,595.598,1.43956,1.20956,1.25288,0.69083,0.46285,0.51198,0.26432,1.66387,1.52807,1.35241,0.000633983,0.000633983,0.000633983
7,690.889,1.43214,1.17323,1.24789,0.65059,0.41773,0.48193,0.2576,1.67416,1.56101,1.35314,0.00062738,0.00062738,0.00062738
8,785.641,1.41059,1.13385,1.23617,0.45004,0.58053,0.51015,0.28385,1.63225,1.53911,1.34903,0.000620777,0.000620777,0.000620777
9,883.74,1.39351,1.0954,1.22396,0.54191,0.48097,0.522,0.28003,1.59525,1.44305,1.30457,0.000614174,0.000614174,0.000614174
10,977.915,1.38089,1.07757,1.22024,0.63885,0.46753,0.56106,0.30898,1.65638,1.38964,1.34038,0.00060757,0.00060757,0.00060757
11,1074.08,1.37474,1.04777,1.21184,0.57131,0.48485,0.54547,0.2948,1.65786,1.44693,1.32711,0.000600967,0.000600967,0.000600967
12,1170.53,1.3646,1.03131,1.20857,0.6816,0.48279,0.57893,0.32024,1.63063,1.42838,1.32439,0.000594364,0.000594364,0.000594364
13,1267.5,1.34814,1.01416,1.20088,0.58061,0.49599,0.54027,0.29962,1.65904,1.41785,1.35457,0.00058776,0.00058776,0.00058776
14,1364.08,1.3349,0.99227,1.19096,0.56287,0.54574,0.56559,0.30235,1.70047,1.416,1.36217,0.000581157,0.000581157,0.000581157
15,1461.1,1.32582,0.98005,1.18627,0.53531,0.52759,0.5475,0.30249,1.63993,1.48866,1.34191,0.000574554,0.000574554,0.000574554
16,1560.02,1.32654,0.97234,1.1851,0.57544,0.50905,0.55275,0.30823,1.6416,1.45745,1.32979,0.00056795,0.00056795,0.00056795
